detail_item_id,detail_item,sub_type_id,sub_type,major_type_id,major_type,row_count
DT0085,작업 준비 및 자재 반입,SB014,추락방지망 설치,MJ001,가설공사,7
DT0086,추락방지망 설치,SB014,추락방지망 설치,MJ001,가설공사,4
DT0087,추락방지망 해체,SB015,추락방지망 해체,MJ001,가설공사,5
DT0088,작업종료 및 정리정돈,SB015,추락방지망 해체,MJ001,가설공사,2
DT0089,작업 전 준비,SB016,엘리베이터 개구부,MJ001,가설공사,2
DT0090,자재 반입 및 운반,SB016,엘리베이터 개구부,MJ001,가설공사,2
DT0091,E/V PIT 낙하물 방지망 설치,SB016,엘리베이터 개구부,MJ001,가설공사,2
DT0092,안전난간대 설치,SB016,엘리베이터 개구부,MJ001,가설공사,5
DT0093,E/V PIT內 이물질 제거,SB016,엘리베이터 개구부,MJ001,가설공사,6
DT0094,작업발판 설치,SB016,엘리베이터 개구부,MJ001,가설공사,2
DT0095,안전보호구 착용,SB016,엘리베이터 개구부,MJ001,가설공사,1
DT0096,E/V 작업,SB016,엘리베이터 개구부,MJ001,가설공사,1
DT0097,상부 난간대 설치,SB016,엘리베이터 개구부,MJ001,가설공사,1
DT0098,E/V PIT 내 경사합판 설치,SB016,엘리베이터 개구부,MJ001,가설공사,1
DT0099,E/V PIT 내 경사합판 제거,SB016,엘리베이터 개구부,MJ001,가설공사,3
DT0100,난간대 설치 및 작업종료,SB016,엘리베이터 개구부,MJ001,가설공사,2
DT0101,"E/V PIT 내 잔재물 제거, E/V PIT 추락방호시설 확인",SB017,엘리베이터 철근절단,MJ001,가설공사,6
DT0102,산소-LPG 용접기 상태 점검[LPG 역화방지기 및 소화기 점검],SB017,엘리베이터 철근절단,MJ001,가설공사,6
DT0103,하부(D-1)층 화재방지 및 낙하물 방지시설 설치,SB017,엘리베이터 철근절단,MJ001,가설공사,2
DT0104,절단작업,SB017,엘리베이터 철근절단,MJ001,가설공사,5
DT0105,하부층 잔재물 정리정돈,SB017,엘리베이터 철근절단,MJ001,가설공사,1
DT0106,E/V PIT 방호시설 설치,SB017,엘리베이터 철근절단,MJ001,가설공사,1
DT0107,설치계획서 사전검토,SB018,시스템 동바리,MJ001,가설공사,1
DT0108,"자재하역, 운반, 양중",SB018,시스템 동바리,MJ001,가설공사,5
DT0109,"잭베이스, 수직, 수평재  및 가새 설치",SB018,시스템 동바리,MJ001,가설공사,6
DT0110,작업발판 설치,SB018,시스템 동바리,MJ001,가설공사,3
DT0111,안전방망 및 외부 난간대 설치,SB018,시스템 동바리,MJ001,가설공사,4
DT0112,"유헤드, 멍에제 설치",SB018,시스템 동바리,MJ001,가설공사,3
DT0113,설치계획서 사전점검,SB019,시스템 비계,MJ001,가설공사,1
DT0114,"자재하역, 운반, 양중",SB019,시스템 비계,MJ001,가설공사,5
DT0115,"잭베이스, 수직/수평재 설치",SB019,시스템 비계,MJ001,가설공사,5
DT0116,"수평재, 가새, 벽이음 설치",SB019,시스템 비계,MJ001,가설공사,3
DT0117,작업발판 및 계단형 안전통로 설치,SB019,시스템 비계,MJ001,가설공사,8
DT0118,작업준비,SB020,비계 설치,MJ001,가설공사,1
DT0119,비계 자재 하역 및 운반,SB020,비계 설치,MJ001,가설공사,4
DT0120,비계 기둥 설치,SB020,비계 설치,MJ001,가설공사,2
DT0121,비계 띠장 설치,SB020,비계 설치,MJ001,가설공사,4
DT0122,발판 설치,SB020,비계 설치,MJ001,가설공사,5
DT0123,안전난간대 설치,SB020,비계 설치,MJ001,가설공사,2
DT0124,이동통로 설치,SB020,비계 설치,MJ001,가설공사,4
DT0125,벽이음 및 가새 설치,SB020,비계 설치,MJ001,가설공사,2
DT0126,안전망 및 안전표지판 설치,SB020,비계 설치,MJ001,가설공사,1
DT0127,작업 종료,SB020,비계 설치,MJ001,가설공사,2
DT0128,작업 준비,SB021,비계 해체,MJ001,가설공사,2
DT0129,수평파이프 해체,SB021,비계 해체,MJ001,가설공사,3
DT0130,유공발판 / 이동통로 해체,SB021,비계 해체,MJ001,가설공사,2
DT0131,벽이음 및 가새 해체,SB021,비계 해체,MJ001,가설공사,2
DT0132,수직파이프 해체,SB021,비계 해체,MJ001,가설공사,1
DT0133,자재정리정돈,SB021,비계 해체,MJ001,가설공사,2
DT0134,자재반출/작업종료,SB021,비계 해체,MJ001,가설공사,2
DT0135,천공 및 항타,SB022,가교,MJ001,가설공사,6
DT0136,벤트 설치,SB022,가교,MJ001,가설공사,3
DT0137,주행 거더보 설치,SB022,가교,MJ001,가설공사,3
DT0138,복공판 설치,SB022,가교,MJ001,가설공사,3
DT0139,"가설자재 운반, 반입작업",SB023,가설펜스,MJ001,가설공사,3
DT0140,기초파이프 박음작업,SB023,가설펜스,MJ001,가설공사,3
DT0141,기둥 및 수평재 고정작업,SB023,가설펜스,MJ001,가설공사,5
DT0142,가설휀스 고정작업,SB023,가설펜스,MJ001,가설공사,3
DT0143,분진망 설치작업,SB023,가설펜스,MJ001,가설공사,2
DT0144,기초설치,SB024,가설사무실 설치,MJ001,가설공사,6
DT0145,골조 작업,SB024,가설사무실 설치,MJ001,가설공사,7
DT0146,내부 작업,SB024,가설사무실 설치,MJ001,가설공사,6
DT0147,완료 및 사용,SB024,가설사무실 설치,MJ001,가설공사,8
DT0148,자재 반입 및 작업준비,SB025,가설분전함 설치,MJ001,가설공사,5
DT0149,자재운반,SB025,가설분전함 설치,MJ001,가설공사,4
DT0150,접지 작업,SB025,가설분전함 설치,MJ001,가설공사,4
DT0151,설치완료 및 점검,SB025,가설분전함 설치,MJ001,가설공사,6
DT0152,방음벽 자재 하차,SB026,가설방음벽,MJ001,가설공사,6
DT0153,기초 지반정리,SB026,가설방음벽,MJ001,가설공사,2
DT0154,방음벽 지주 설치/해체,SB026,가설방음벽,MJ001,가설공사,6
DT0155,방음판 설치/해체,SB026,가설방음벽,MJ001,가설공사,9
DT0156,장비반입 및 준비,SB027,가설용수,MJ001,가설공사,4
DT0157,천공,SB027,가설용수,MJ001,가설공사,2
DT0158,외부케이싱 설치,SB027,가설용수,MJ001,가설공사,3
DT0159,심정블럭 설치,SB027,가설용수,MJ001,가설공사,2
DT0160,심정모터 설치,SB027,가설용수,MJ001,가설공사,1
DT0161,배관연결 작업,SB027,가설용수,MJ001,가설공사,2
DT0162,판넬 설치,SB027,가설용수,MJ001,가설공사,1
DT0163,리더 제원 확인,SB028,항타기 조립/해체,MJ002,파일공사,2
DT0164,조립장소 확보,SB028,항타기 조립/해체,MJ002,파일공사,2
DT0165,장비 반입 및 하차,SB028,항타기 조립/해체,MJ002,파일공사,2
DT0166,리더 조립,SB028,항타기 조립/해체,MJ002,파일공사,1
DT0167,리더 세우기,SB028,항타기 조립/해체,MJ002,파일공사,3
DT0168,리더 수직도 확인,SB028,항타기 조립/해체,MJ002,파일공사,1
DT0169,항타기 해체,SB028,항타기 조립/해체,MJ002,파일공사,4
DT0170,항타기 반출,SB028,항타기 조립/해체,MJ002,파일공사,3
DT0171,"강관파일 입고,하역",SB029,강관파일 항타,MJ002,파일공사,2
DT0172,파일하역 및 적재,SB029,강관파일 항타,MJ002,파일공사,3
DT0173,강관파일 용접,SB029,강관파일 항타,MJ002,파일공사,4
DT0174,파일선적,SB029,강관파일 항타,MJ002,파일공사,3
DT0175,해상운반,SB029,강관파일 항타,MJ002,파일공사,2
DT0176,파일항타,SB029,강관파일 항타,MJ002,파일공사,5
DT0177,두부정리,SB029,강관파일 항타,MJ002,파일공사,4
DT0178,리더제원 확인,SB030,PHC 파일 항타,MJ002,파일공사,2
DT0179,조립장소 확보,SB030,PHC 파일 항타,MJ002,파일공사,2
DT0180,장비반입 및 하차,SB030,PHC 파일 항타,MJ002,파일공사,2
DT0181,리더조립,SB030,PHC 파일 항타,MJ002,파일공사,1
DT0182,리더 수직도 확인,SB030,PHC 파일 항타,MJ002,파일공사,1
DT0183,항타 작업,SB030,PHC 파일 항타,MJ002,파일공사,1
DT0184,항타기 해체,SB030,PHC 파일 항타,MJ002,파일공사,4
DT0185,항타기 반출,SB030,PHC 파일 항타,MJ002,파일공사,3
DT0186,천공 및 앙카 작업,SB031,PC공사,MJ003,PC공사,4
DT0187,자재 하역 및 적재,SB031,PC공사,MJ003,PC공사,5
DT0188,기둥 조립,SB031,PC공사,MJ003,PC공사,6
DT0189,보 조립,SB031,PC공사,MJ003,PC공사,5
DT0190,슬라브 조립,SB031,PC공사,MJ003,PC공사,6
DT0191,PC 조립부 코킹,SB031,PC공사,MJ003,PC공사,2
DT0192,정리정돈,SB031,PC공사,MJ003,PC공사,1
DT0193,자재 반입,SB032,데크플레이트,MJ004,철골공사,1
DT0194,자재 하역,SB032,데크플레이트,MJ004,철골공사,2
DT0195,자재 양중,SB032,데크플레이트,MJ004,철골공사,1
DT0196,보 상단에 하역,SB032,데크플레이트,MJ004,철골공사,3
DT0197,데크 판개,SB032,데크플레이트,MJ004,철골공사,9
DT0198,앤드 플레이트 설치,SB032,데크플레이트,MJ004,철골공사,2
DT0199,잔재 정리,SB032,데크플레이트,MJ004,철골공사,3
DT0200,자재 하역,SB033,철골,MJ004,철골공사,3
DT0201,작업 준비,SB033,철골,MJ004,철골공사,2
DT0202,COLUMN 설치,SB033,철골,MJ004,철골공사,4
DT0203,GIRDER 및 BEAM 설치,SB033,철골,MJ004,철골공사,3
DT0204,볼팅 및 임팩작업,SB033,철골,MJ004,철골공사,4
DT0205,수정작업 및 마감용접 작업,SB033,철골,MJ004,철골공사,4
DT0206,도장작업(TOUCH UP),SB033,철골,MJ004,철골공사,4
DT0207,추락방지망 설치,SB033,철골,MJ004,철골공사,2
DT0208,자재 반입,SB034,콘크리트 면 보양,MJ005,골조(콘크리트),2
DT0209,보양 천막 설치,SB034,콘크리트 면 보양,MJ005,골조(콘크리트),2
DT0210,보양작업 실시,SB034,콘크리트 면 보양,MJ005,골조(콘크리트),4
DT0211,보양포 해체,SB034,콘크리트 면 보양,MJ005,골조(콘크리트),1
DT0212,정리정돈,SB034,콘크리트 면 보양,MJ005,골조(콘크리트),1
DT0213,열풍기 배치,SB035,동절기 보온,MJ005,골조(콘크리트),4
DT0214,열풍기 가동,SB035,동절기 보온,MJ005,골조(콘크리트),3
DT0215,예비 연료 배치,SB035,동절기 보온,MJ005,골조(콘크리트),2
DT0216,연료 보충,SB035,동절기 보온,MJ005,골조(콘크리트),4
DT0217,열풍기 소화,SB035,동절기 보온,MJ005,골조(콘크리트),2
DT0218,작업종료,SB035,동절기 보온,MJ005,골조(콘크리트),1
DT0219,펌프카 반입 및 셋팅,SB036,레미콘 타설,MJ005,골조(콘크리트),5
DT0220,레미콘 반입,SB036,레미콘 타설,MJ005,골조(콘크리트),4
DT0221,옹벽 Con'c 타설,SB036,레미콘 타설,MJ005,골조(콘크리트),7
DT0222,슬라브 Con'c 타설,SB036,레미콘 타설,MJ005,골조(콘크리트),8
DT0223,자재 반입 및 작업준비,SB037,영구배수,MJ005,골조(콘크리트),3
DT0224,바탕처리 및 조인트 작업,SB037,영구배수,MJ005,골조(콘크리트),4
DT0225,배수판 설치 작업,SB037,영구배수,MJ005,골조(콘크리트),3
DT0226,콘크리트 타설 작업,SB037,영구배수,MJ005,골조(콘크리트),2
DT0227,정리정돈,SB037,영구배수,MJ005,골조(콘크리트),1
DT0228,자재 반입 및 작업준비,SB038,CPB 설치 해체,MJ005,골조(콘크리트),2
DT0229,CPB 인양 및 설치,SB038,CPB 설치 해체,MJ005,골조(콘크리트),4
DT0230,CPB 인상작업,SB038,CPB 설치 해체,MJ005,골조(콘크리트),4
DT0231,CPB 해체작업,SB038,CPB 설치 해체,MJ005,골조(콘크리트),5
DT0232,작업 후 정리,SB038,CPB 설치 해체,MJ005,골조(콘크리트),2
DT0233,자재 반입 운반,SB039,압송관 설치 해체,MJ005,골조(콘크리트),3
DT0234,설치 작업,SB039,압송관 설치 해체,MJ005,골조(콘크리트),5
DT0235,해체 작업,SB039,압송관 설치 해체,MJ005,골조(콘크리트),3
DT0236,시공도 작성,SB040,보 슬래브,MJ006,골조(형틀),1
DT0237,작업준비 자재 제작,SB040,보 슬래브,MJ006,골조(형틀),4
DT0238,기둥 / 벽거푸집 설치,SB040,보 슬래브,MJ006,골조(형틀),9
DT0239,"보, 거푸집 및 동바리설치",SB040,보 슬래브,MJ006,골조(형틀),11
DT0240,동바리 설치,SB040,보 슬래브,MJ006,골조(형틀),7
DT0241,슬래브 설치,SB040,보 슬래브,MJ006,골조(형틀),9
DT0242,거푸집 동바리 점검,SB040,보 슬래브,MJ006,골조(형틀),1
DT0243,슬래브 콘크리트 타설,SB040,보 슬래브,MJ006,골조(형틀),1
DT0244,형틀 해체 및 정리,SB040,보 슬래브,MJ006,골조(형틀),12
DT0245,작업준비 자재이동,SB041,옹벽 형틀,MJ006,골조(형틀),5
DT0246,레벨 체크 및 수평목 설치,SB041,옹벽 형틀,MJ006,골조(형틀),5
DT0247,대형 거푸집 설치/인양,SB041,옹벽 형틀,MJ006,골조(형틀),3
DT0248,긴결철물 설치 및 마감,SB041,옹벽 형틀,MJ006,골조(형틀),4
DT0249,정리 정돈,SB041,옹벽 형틀,MJ006,골조(형틀),2
DT0250,해체,SB041,옹벽 형틀,MJ006,골조(형틀),3
DT0251,자재반입/하역,SB042,AL폼,MJ006,골조(형틀),2
DT0252,먹메김 및 레벨확인,SB042,AL폼,MJ006,골조(형틀),3
DT0253,AL폼 벽체 조립,SB042,AL폼,MJ006,골조(형틀),7
DT0254,계단 및 E/V 조립,SB042,AL폼,MJ006,골조(형틀),4
DT0255,슬라브설치,SB042,AL폼,MJ006,골조(형틀),7
DT0256,벽체 해체,SB042,AL폼,MJ006,골조(형틀),6
DT0257,"계단, E/V해체",SB042,AL폼,MJ006,골조(형틀),3
DT0258,슬라브 해체,SB042,AL폼,MJ006,골조(형틀),6
DT0259,작업종료,SB042,AL폼,MJ006,골조(형틀),1
DT0260,작업준비(운반),SB043,갱폼 케이지,MJ006,골조(형틀),3
DT0261,"T/C 양중, 운반",SB043,갱폼 케이지,MJ006,골조(형틀),3
DT0262,상부 케이지 작업,SB043,갱폼 케이지,MJ006,골조(형틀),4
DT0263,하부 케이지 작업,SB043,갱폼 케이지,MJ006,골조(형틀),3
DT0264,정리정돈,SB043,갱폼 케이지,MJ006,골조(형틀),3
DT0265,볼트 가해체,SB044,갱폼 인양,MJ006,골조(형틀),5
DT0266,갱폼과  크레인 결속,SB044,갱폼 인양,MJ006,골조(형틀),3
DT0267,"갱폼 연결핀 제거, 고정볼트 해체",SB044,갱폼 인양,MJ006,골조(형틀),3
DT0268,갱폼 구조물에서 분리,SB044,갱폼 인양,MJ006,골조(형틀),2
DT0269,갱폼 인양,SB044,갱폼 인양,MJ006,골조(형틀),3
DT0270,고정볼트 체결,SB044,갱폼 인양,MJ006,골조(형틀),2
DT0271,갱폼 지지로프 체결,SB044,갱폼 인양,MJ006,골조(형틀),1
DT0272,슬래브매입 고정볼트 설치,SB044,갱폼 인양,MJ006,골조(형틀),1
DT0273,사전 준비,SB045,갱폼 해체,MJ006,골조(형틀),1
DT0274,갱폼 탈형 및 인양,SB045,갱폼 해체,MJ006,골조(형틀),10
DT0275,갱폼 해체 및 반출,SB045,갱폼 해체,MJ006,골조(형틀),3
DT0276,자재반입,SB046,"ACS, RCS",MJ006,골조(형틀),1
DT0277,지상조립,SB046,"ACS, RCS",MJ006,골조(형틀),3
DT0278,"슈, 브라켓 설치",SB046,"ACS, RCS",MJ006,골조(형틀),3
DT0279,발판 설치,SB046,"ACS, RCS",MJ006,골조(형틀),2
DT0280,상부 거푸집 설치,SB046,"ACS, RCS",MJ006,골조(형틀),2
DT0281,앙카설치/해체 및 프로파일 고정,SB046,"ACS, RCS",MJ006,골조(형틀),1
DT0282,벽체지지볼트 해체,SB046,"ACS, RCS",MJ006,골조(형틀),1
DT0283,폼 상승,SB046,"ACS, RCS",MJ006,골조(형틀),6
DT0284,벽체지지볼트 고정,SB046,"ACS, RCS",MJ006,골조(형틀),1
DT0285,해체 및 반출,SB046,"ACS, RCS",MJ006,골조(형틀),3
DT0286,장철 인양작업,SB047,철근 가공,MJ007,골조(철근),4
DT0287,절단 작업,SB047,철근 가공,MJ007,골조(철근),7
DT0288,절곡 작업,SB047,철근 가공,MJ007,골조(철근),2
DT0289,가공철 양중작업,SB047,철근 가공,MJ007,골조(철근),1
DT0290,자재반입/하역,SB048,철근 양중,MJ007,골조(철근),2
DT0291,규격별 철근 적재,SB048,철근 양중,MJ007,골조(철근),2
DT0292,와이어 철근 체결,SB048,철근 양중,MJ007,골조(철근),1
DT0293,철근 인양,SB048,철근 양중,MJ007,골조(철근),1
DT0294,이동 신호,SB048,철근 양중,MJ007,골조(철근),1
DT0295,철근 하역,SB048,철근 양중,MJ007,골조(철근),3
DT0296,마무리 및 정리정돈,SB048,철근 양중,MJ007,골조(철근),1
DT0297,작업준비(작업장 TBM),SB049,철근 배근,MJ007,골조(철근),5
DT0298,작업장 철근 하역,SB049,철근 배근,MJ007,골조(철근),4
DT0299,장철 인력운반,SB049,철근 배근,MJ007,골조(철근),3
DT0300,벽체 배근작업 (기둥포함),SB049,철근 배근,MJ007,골조(철근),14
DT0301,슬래브 배근,SB049,철근 배근,MJ007,골조(철근),10
DT0302,계단실 등 기타 위치,SB049,철근 배근,MJ007,골조(철근),4
DT0303,정리정돈 및 작업종료,SB049,철근 배근,MJ007,골조(철근),4
DT0304,자재 하역,SB050,조적,MJ008,습식공사,1
DT0305,작업 준비,SB050,조적,MJ008,습식공사,1
DT0306,자재 운반,SB050,조적,MJ008,습식공사,2
DT0307,작업대·발판설치,SB050,조적,MJ008,습식공사,1
DT0308,씨멘트몰탈 비빔,SB050,조적,MJ008,습식공사,6
DT0309,조적 작업,SB050,조적,MJ008,습식공사,4
DT0310,작업대·발판 해체,SB050,조적,MJ008,습식공사,2
DT0311,정리·정돈,SB050,조적,MJ008,습식공사,2
DT0312,자재반입,SB051,경량기포 콘크리트,MJ008,습식공사,2
DT0313,싸이로 믹싱작업,SB051,경량기포 콘크리트,MJ008,습식공사,1
DT0314,배관 설치,SB051,경량기포 콘크리트,MJ008,습식공사,2
DT0315,밀대수평작업,SB051,경량기포 콘크리트,MJ008,습식공사,1
DT0316,작업완료,SB051,경량기포 콘크리트,MJ008,습식공사,2
DT0317,자재하역 / 야적,SB052,시멘트 액체 방수,MJ008,습식공사,3
DT0318,면정리 및 청소,SB052,시멘트 액체 방수,MJ008,습식공사,4
DT0319,시멘트페이스트 / 방수몰탈,SB052,시멘트 액체 방수,MJ008,습식공사,2
DT0320,시멘트 액체방수 코너보강,SB052,시멘트 액체 방수,MJ008,습식공사,1
DT0321,"시멘트 액체방수 1,2차",SB052,시멘트 액체 방수,MJ008,습식공사,3
DT0322,보호몰탈,SB052,시멘트 액체 방수,MJ008,습식공사,1
DT0323,작업완료 및 정리정돈,SB052,시멘트 액체 방수,MJ008,습식공사,1
DT0324,자재하역 / 운반,SB053,비노출 우레탄 방수,MJ008,습식공사,3
DT0325,면정리 및 청소,SB053,비노출 우레탄 방수,MJ008,습식공사,5
DT0326,프라이머 도포,SB053,비노출 우레탄 방수,MJ008,습식공사,4
DT0327,코너 보강,SB053,비노출 우레탄 방수,MJ008,습식공사,3
DT0328,우레탄 1차 도포,SB053,비노출 우레탄 방수,MJ008,습식공사,4
DT0329,우레탄 2차 도포,SB053,비노출 우레탄 방수,MJ008,습식공사,4
DT0330,작업 후 정리,SB053,비노출 우레탄 방수,MJ008,습식공사,2
DT0331,자재하역 / 운반,SB054,노출 우레탄 방수,MJ008,습식공사,2
DT0332,면정리 및 청소,SB054,노출 우레탄 방수,MJ008,습식공사,3
DT0333,프라이머 도포,SB054,노출 우레탄 방수,MJ008,습식공사,3
DT0334,코너 보강,SB054,노출 우레탄 방수,MJ008,습식공사,1
DT0335,우레탄 1차 도포,SB054,노출 우레탄 방수,MJ008,습식공사,2
DT0336,우레탄 2차 도포,SB054,노출 우레탄 방수,MJ008,습식공사,3
DT0337,작업 후 정리,SB054,노출 우레탄 방수,MJ008,습식공사,2
DT0338,자재하역 / 야적,SB055,침투식 액체 방수,MJ008,습식공사,7
DT0339,면정리 및 바탕청소,SB055,침투식 액체 방수,MJ008,습식공사,3
DT0340,자재 배합,SB055,침투식 액체 방수,MJ008,습식공사,2
DT0341,침투성방수 1차,SB055,침투식 액체 방수,MJ008,습식공사,2
DT0342,침투성방수 2차,SB055,침투식 액체 방수,MJ008,습식공사,1
DT0343,작업완료 및 주변정리정돈,SB055,침투식 액체 방수,MJ008,습식공사,2
DT0344,작업 준비,SB056,주차장 에폭시 방수,MJ008,습식공사,3
DT0345,그라인더 작업 및 프라이머 도포,SB056,주차장 에폭시 방수,MJ008,습식공사,6
DT0346,퍼티작업,SB056,주차장 에폭시 방수,MJ008,습식공사,2
DT0347,"1, 2차 도포",SB056,주차장 에폭시 방수,MJ008,습식공사,3
