# [검증 필요-가상코드] 모든 erp_code 는 실 ERP 코드가 아닌 PoC 가상 코드다. 운영 전환 전 ERP 마스터 추출로 교체 필수.
jha_sub_type_id,erp_sub_code,sub_type_norm,jha_major_type_id,erp_major_code,major_type_norm,row_count,map_status,note
SB030,HBC-SB-030,PHC 파일 항타,MJ002,HBC-MJ-002,파일공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB031,HBC-SB-031,PC공사,MJ003,HBC-MJ-003,PC공사,29,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB032,HBC-SB-032,데크플레이트,MJ004,HBC-MJ-004,철골공사,21,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB033,HBC-SB-033,철골,MJ004,HBC-MJ-004,철골공사,26,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB034,HBC-SB-034,콘크리트 면 보양,MJ005,HBC-MJ-005,골조(콘크리트),10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB035,HBC-SB-035,동절기 보온,MJ005,HBC-MJ-005,골조(콘크리트),16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB036,HBC-SB-036,레미콘 타설,MJ005,HBC-MJ-005,골조(콘크리트),24,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB037,HBC-SB-037,영구배수,MJ005,HBC-MJ-005,골조(콘크리트),13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB038,HBC-SB-038,CPB 설치 해체,MJ005,HBC-MJ-005,골조(콘크리트),17,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB039,HBC-SB-039,압송관 설치 해체,MJ005,HBC-MJ-005,골조(콘크리트),11,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB040,HBC-SB-040,보 슬래브,MJ006,HBC-MJ-006,골조(형틀),55,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB041,HBC-SB-041,옹벽 형틀,MJ006,HBC-MJ-006,골조(형틀),22,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB042,HBC-SB-042,AL폼,MJ006,HBC-MJ-006,골조(형틀),39,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB043,HBC-SB-043,갱폼 케이지,MJ006,HBC-MJ-006,골조(형틀),16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB044,HBC-SB-044,갱폼 인양,MJ006,HBC-MJ-006,골조(형틀),20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB045,HBC-SB-045,갱폼 해체,MJ006,HBC-MJ-006,골조(형틀),14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB046,HBC-SB-046,"ACS, RCS",MJ006,HBC-MJ-006,골조(형틀),23,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB047,HBC-SB-047,철근 가공,MJ007,HBC-MJ-007,골조(철근),14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB048,HBC-SB-048,철근 양중,MJ007,HBC-MJ-007,골조(철근),11,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB049,HBC-SB-049,철근 배근,MJ007,HBC-MJ-007,골조(철근),44,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB050,HBC-SB-050,조적,MJ008,HBC-MJ-008,습식공사,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB051,HBC-SB-051,경량기포 콘크리트,MJ008,HBC-MJ-008,습식공사,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB052,HBC-SB-052,시멘트 액체 방수,MJ008,HBC-MJ-008,습식공사,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB053,HBC-SB-053,비노출 우레탄 방수,MJ008,HBC-MJ-008,습식공사,25,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB054,HBC-SB-054,노출 우레탄 방수,MJ008,HBC-MJ-008,습식공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB055,HBC-SB-055,침투식 액체 방수,MJ008,HBC-MJ-008,습식공사,17,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB056,HBC-SB-056,주차장 에폭시 방수,MJ008,HBC-MJ-008,습식공사,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB057,HBC-SB-057,아스팔트 방수,MJ008,HBC-MJ-008,습식공사,26,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB058,HBC-SB-058,크랙 보수,MJ008,HBC-MJ-008,습식공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB059,HBC-SB-059,타일,MJ008,HBC-MJ-008,습식공사,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB060,HBC-SB-060,견출,MJ008,HBC-MJ-008,습식공사,21,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB061,HBC-SB-061,그라인딩,MJ008,HBC-MJ-008,습식공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB062,HBC-SB-062,방바닥 미장,MJ008,HBC-MJ-008,습식공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB063,HBC-SB-063,미장,MJ008,HBC-MJ-008,습식공사,22,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB064,HBC-SB-064,석공사 벽체,MJ009,HBC-MJ-009,마감공사,23,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB065,HBC-SB-065,석공사 바닥,MJ009,HBC-MJ-009,마감공사,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB066,HBC-SB-066,경량 천정 틀,MJ009,HBC-MJ-009,마감공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB067,HBC-SB-067,석고보드 붙이기,MJ009,HBC-MJ-009,마감공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB068,HBC-SB-068,DRY WALL,MJ009,HBC-MJ-009,마감공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB069,HBC-SB-069,온돌 마루,MJ009,HBC-MJ-009,마감공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB070,HBC-SB-070,도배,MJ009,HBC-MJ-009,마감공사,17,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB071,HBC-SB-071,외부 로프,MJ009,HBC-MJ-009,마감공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB072,HBC-SB-072,금속 기와,MJ009,HBC-MJ-009,마감공사,17,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB073,HBC-SB-073,유리,MJ009,HBC-MJ-009,마감공사,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB074,HBC-SB-074,주방 가구,MJ009,HBC-MJ-009,마감공사,21,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB075,HBC-SB-075,발코니 난간,MJ009,HBC-MJ-009,마감공사,7,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB076,HBC-SB-076,테라조,MJ009,HBC-MJ-009,마감공사,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB077,HBC-SB-077,도장,MJ009,HBC-MJ-009,마감공사,28,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB078,HBC-SB-078,코킹,MJ009,HBC-MJ-009,마감공사,11,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB079,HBC-SB-079,일반가구,MJ009,HBC-MJ-009,마감공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB080,HBC-SB-080,시스템 가구,MJ009,HBC-MJ-009,마감공사,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB081,HBC-SB-081,마루,MJ009,HBC-MJ-009,마감공사,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB082,HBC-SB-082,준공청소,MJ009,HBC-MJ-009,마감공사,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB083,HBC-SB-083,트러스,MJ010,HBC-MJ-010,금속공사,18,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB084,HBC-SB-084,금속 판넬,MJ010,HBC-MJ-010,금속공사,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB085,HBC-SB-085,하지철물,MJ010,HBC-MJ-010,금속공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB086,HBC-SB-086,현관문,MJ011,HBC-MJ-011,창호공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB087,HBC-SB-087,ST'L 도어,MJ011,HBC-MJ-011,창호공사,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB088,HBC-SB-088,AL창호 일반,MJ011,HBC-MJ-011,창호공사,18,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB089,HBC-SB-089,AL창호 계단,MJ011,HBC-MJ-011,창호공사,20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB090,HBC-SB-090,목창호,MJ011,HBC-MJ-011,창호공사,17,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB091,HBC-SB-091,PL창호,MJ011,HBC-MJ-011,창호공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB092,HBC-SB-092,외장 UNIT타입,MJ011,HBC-MJ-011,창호공사,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB093,HBC-SB-093,벌개제근 및 벌목,MJ012,HBC-MJ-012,토공 및 가시설,20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB094,HBC-SB-094,암성토,MJ012,HBC-MJ-012,토공 및 가시설,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB095,HBC-SB-095,암절취 및 운반,MJ012,HBC-MJ-012,토공 및 가시설,14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB096,HBC-SB-096,토사터파기 및 운반,MJ012,HBC-MJ-012,토공 및 가시설,23,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB097,HBC-SB-097,발파,MJ012,HBC-MJ-012,토공 및 가시설,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB098,HBC-SB-098,바닥고르기,MJ012,HBC-MJ-012,토공 및 가시설,9,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB099,HBC-SB-099,되메우기 및 다짐,MJ012,HBC-MJ-012,토공 및 가시설,11,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB100,HBC-SB-100,크람쉘상차,MJ012,HBC-MJ-012,토공 및 가시설,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB101,HBC-SB-101,SK 판넬,MJ012,HBC-MJ-012,토공 및 가시설,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB102,HBC-SB-102,TS 판넬,MJ012,HBC-MJ-012,토공 및 가시설,7,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB103,HBC-SB-103,H-PILE 천공,MJ012,HBC-MJ-012,토공 및 가시설,20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB104,HBC-SB-104,H-PILE 설치,MJ012,HBC-MJ-012,토공 및 가시설,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB105,HBC-SB-105,띠장 설치,MJ012,HBC-MJ-012,토공 및 가시설,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB106,HBC-SB-106,띠장 철거,MJ012,HBC-MJ-012,토공 및 가시설,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB107,HBC-SB-107,토류벽,MJ012,HBC-MJ-012,토공 및 가시설,20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB108,HBC-SB-108,SOIL NAIL,MJ012,HBC-MJ-012,토공 및 가시설,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB109,HBC-SB-109,숏크리트 타설,MJ012,HBC-MJ-012,토공 및 가시설,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB110,HBC-SB-110,SHEET PILE,MJ012,HBC-MJ-012,토공 및 가시설,9,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB111,HBC-SB-111,어스 앵커,MJ012,HBC-MJ-012,토공 및 가시설,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB112,HBC-SB-112,사면 보호공,MJ012,HBC-MJ-012,토공 및 가시설,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB113,HBC-SB-113,지반개량(고화),MJ012,HBC-MJ-012,토공 및 가시설,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB114,HBC-SB-114,낙석방지망,MJ012,HBC-MJ-012,토공 및 가시설,46,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB115,HBC-SB-115,크라샤,MJ012,HBC-MJ-012,토공 및 가시설,65,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB116,HBC-SB-116,진입도로,MJ012,HBC-MJ-012,토공 및 가시설,14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB117,HBC-SB-117,사면 보호천막 설치,MJ012,HBC-MJ-012,토공 및 가시설,7,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB118,HBC-SB-118,P.R.D,MJ012,HBC-MJ-012,토공 및 가시설,29,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB119,HBC-SB-119,관로터파기,MJ013,HBC-MJ-013,부대토목,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB120,HBC-SB-120,맹암거,MJ013,HBC-MJ-013,부대토목,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB121,HBC-SB-121,배수관,MJ013,HBC-MJ-013,부대토목,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB122,HBC-SB-122,맨홀,MJ013,HBC-MJ-013,부대토목,32,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB123,HBC-SB-123,P.C BOX설치,MJ013,HBC-MJ-013,부대토목,5,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB124,HBC-SB-124,차선 도색,MJ013,HBC-MJ-013,부대토목,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB125,HBC-SB-125,경계석,MJ013,HBC-MJ-013,부대토목,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB126,HBC-SB-126,"조경토 부설, 수목 식재",MJ014,HBC-MJ-014,조경 및 시설물,26,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB127,HBC-SB-127,산석,MJ014,HBC-MJ-014,조경 및 시설물,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB128,HBC-SB-128,트렐리스,MJ014,HBC-MJ-014,조경 및 시설물,9,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB129,HBC-SB-129,놀이 시설물,MJ014,HBC-MJ-014,조경 및 시설물,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB130,HBC-SB-130,잔디 식재,MJ014,HBC-MJ-014,조경 및 시설물,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB131,HBC-SB-131,보도블럭,MJ014,HBC-MJ-014,조경 및 시설물,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB132,HBC-SB-132,RACE WAY,MJ015,HBC-MJ-015,전기/통신,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB133,HBC-SB-133,케이블 트레이,MJ015,HBC-MJ-015,전기/통신,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB134,HBC-SB-134,BUS DUCT,MJ015,HBC-MJ-015,전기/통신,6,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB135,HBC-SB-135,전등 설비,MJ015,HBC-MJ-015,전기/통신,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB136,HBC-SB-136,피뢰침,MJ015,HBC-MJ-015,전기/통신,6,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB137,HBC-SB-137,외등 설치,MJ015,HBC-MJ-015,전기/통신,5,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB138,HBC-SB-138,케이블 철거,MJ015,HBC-MJ-015,전기/통신,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB139,HBC-SB-139,자동화재탐지 설비,MJ015,HBC-MJ-015,전기/통신,7,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB140,HBC-SB-140,유도등 설비,MJ015,HBC-MJ-015,전기/통신,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB141,HBC-SB-141,무선통신설비,MJ015,HBC-MJ-015,전기/통신,7,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB142,HBC-SB-142,CCTV 설비 공사,MJ015,HBC-MJ-015,전기/통신,6,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB143,HBC-SB-143,엘리베이터 공사,MJ015,HBC-MJ-015,전기/통신,35,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB144,HBC-SB-144,에스컬레이터 공사,MJ015,HBC-MJ-015,전기/통신,14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB145,HBC-SB-145,세대 조명,MJ015,HBC-MJ-015,전기/통신,6,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB146,HBC-SB-146,태양광,MJ015,HBC-MJ-015,전기/통신,11,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB147,HBC-SB-147,입선배선,MJ015,HBC-MJ-015,전기/통신,28,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB148,HBC-SB-148,접지,MJ015,HBC-MJ-015,전기/통신,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB149,HBC-SB-149,벽체슬라브 배관,MJ015,HBC-MJ-015,전기/통신,26,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB150,HBC-SB-150,"공조기, 외조기",MJ016,HBC-MJ-016,소방/기계설비,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB151,HBC-SB-151,지하실 천정 배관,MJ016,HBC-MJ-016,소방/기계설비,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB152,HBC-SB-152,횡주관,MJ016,HBC-MJ-016,소방/기계설비,21,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB153,HBC-SB-153,기계실 공조 배관,MJ016,HBC-MJ-016,소방/기계설비,22,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB154,HBC-SB-154,환기덕트,MJ016,HBC-MJ-016,소방/기계설비,23,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB155,HBC-SB-155,소화장비,MJ016,HBC-MJ-016,소방/기계설비,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB156,HBC-SB-156,옥내 소화전 배관공사,MJ016,HBC-MJ-016,소방/기계설비,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB157,HBC-SB-157,소화배관 공사,MJ016,HBC-MJ-016,소방/기계설비,24,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB158,HBC-SB-158,옥외소화설비공사,MJ016,HBC-MJ-016,소방/기계설비,17,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB159,HBC-SB-159,가스 배관,MJ016,HBC-MJ-016,소방/기계설비,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB160,HBC-SB-160,옥외 가스 배관,MJ016,HBC-MJ-016,소방/기계설비,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB161,HBC-SB-161,입상 배관,MJ016,HBC-MJ-016,소방/기계설비,14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB162,HBC-SB-162,정화조,MJ016,HBC-MJ-016,소방/기계설비,20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB163,HBC-SB-163,자동제어,MJ016,HBC-MJ-016,소방/기계설비,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB164,HBC-SB-164,난방코일,MJ016,HBC-MJ-016,소방/기계설비,13,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB165,HBC-SB-165,시스템에어컨,MJ016,HBC-MJ-016,소방/기계설비,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB166,HBC-SB-166,가설도로,MJ017,HBC-MJ-017,토목 전문공사,45,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB167,HBC-SB-167,PBD,MJ017,HBC-MJ-017,토목 전문공사,5,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
